I consider myself:,Country,Response ID,Time Started,Date Submitted,Status,Language,Link Name,WiFi Router:Check all the internet connected devices you currently own:,Laptop computer:Check all the internet connected devices you currently own:,Smart phone:Check all the internet connected devices you currently own:,Smart TV:Check all the internet connected devices you currently own:,Activity Tracker (ex: Fitbit or Apple Watch):Check all the internet connected devices you currently own:,"Smarthome Hub (ex. Amazon Echo, Google Alexa):Check all the internet connected devices you currently own:",Car that connects to the internet:Check all the internet connected devices you currently own:,Smart Thermostat (ex: Nest):Check all the internet connected devices you currently own:,"Smart Appliance (ex. Coffeemaker, Refrigerator, Oven, Fridge):Check all the internet connected devices you currently own:",Smart Door Locks (ex. Door locks for your home you can open via bluetooth):Check all the internet connected devices you currently own:,"Smart Lighting (ex. Connected lighting switches, dimmers, or bulbs):Check all the internet connected devices you currently own:",Thinking about a future in which so much of your world is connected to the internet leaves you feeling:,What are you most excited about as we move toward a more digitally connected future?,What is your biggest fear as we move towards a more connected future?,"Who is most responsible for protecting the online safety, privacy, and security of the connected apps and devices you own?","Who do you most trust to help you learn how to protect your safety, security and privacy online?",Price:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Features:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Safety:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Security:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Privacy:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Reliability:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,User Reviews:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Expert Recommendation:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Friend or Family Recommendation:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,Convenience:You‰Ûªre planning on buying your next cool new tech toy. Maybe it‰Ûªs a smart TV or a new smartphone. åÊTake a look at the items below and arrange them in order of importance as you make that purchase.,IoT:Check all the terms below that you could explain to a friend:,Connected Devices:Check all the terms below that you could explain to a friend:,Botnet:Check all the terms below that you could explain to a friend:,Blockchain:Check all the terms below that you could explain to a friend:,RFID:Check all the terms below that you could explain to a friend:,DDOS:Check all the terms below that you could explain to a friend:,Zero Day:Check all the terms below that you could explain to a friend:,VPN:Check all the terms below that you could explain to a friend:,TOR:Check all the terms below that you could explain to a friend:,I don‰Ûªt know what any of these things are:Check all the terms below that you could explain to a friend:,Country or Region (optional)
Luddite:  Technology scares me! I only use it when I have to.,Belize,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0
Luddite:  Technology scares me! I only use it when I have to.,Benin,3,3,3,3,3,3,1,1,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,1,2,1,1,0,0,2,0,1,0,0,0,0,0,0,1,1,2
Luddite:  Technology scares me! I only use it when I have to.,Bhutan,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1
Luddite:  Technology scares me! I only use it when I have to.,Bolivia,28,28,28,28,28,28,12,14,14,3,0,1,1,0,0,0,1,23,20,22,20,21,13,9,9,6,9,8,5,8,8,9,0,7,0,1,0,0,1,2,0,13,19
Luddite:  Technology scares me! I only use it when I have to.,Botswana,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Luddite:  Technology scares me! I only use it when I have to.,Brazil,442,442,442,442,442,442,326,247,242,129,28,17,34,18,58,20,37,411,416,398,396,399,221,199,195,209,203,197,165,187,176,178,22,160,20,17,18,18,22,47,26,217,358
Luddite:  Technology scares me! I only use it when I have to.,Bulgaria,3,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,0,0,1,0,1,3
Luddite:  Technology scares me! I only use it when I have to.,Burkina Faso,10,10,10,10,10,10,2,10,5,2,0,0,0,0,1,0,0,9,10,9,10,10,4,4,4,4,4,4,4,4,4,4,0,3,0,0,0,0,0,2,0,5,9
Luddite:  Technology scares me! I only use it when I have to.,Burundi,2,2,2,2,2,2,1,1,2,1,0,1,0,0,0,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,2,1,0,0,0,0,1,1,0,2
Luddite:  Technology scares me! I only use it when I have to.,Cambodia,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
Luddite:  Technology scares me! I only use it when I have to.,Cameroon,15,15,15,15,15,15,8,12,10,2,1,1,0,0,0,1,0,14,14,14,14,14,6,6,6,6,5,5,3,4,4,6,0,6,0,0,0,0,1,1,1,4,8
Luddite:  Technology scares me! I only use it when I have to.,Canada,131,131,131,131,131,131,82,89,42,16,9,1,9,6,10,2,2,122,123,124,125,125,78,77,78,80,78,81,74,78,78,78,11,44,6,9,11,3,6,14,8,75,112
Luddite:  Technology scares me! I only use it when I have to.,Chad,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luddite:  Technology scares me! I only use it when I have to.,Chile,42,42,42,42,42,42,28,23,24,10,0,0,0,0,1,0,1,38,39,38,37,38,28,23,25,20,26,22,19,22,23,26,4,17,3,3,4,6,5,6,5,18,31
Luddite:  Technology scares me! I only use it when I have to.,China,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Luddite:  Technology scares me! I only use it when I have to.,Colombia,94,94,94,94,94,94,56,60,56,28,5,5,6,4,6,6,5,85,86,83,83,83,60,53,53,43,53,50,44,50,47,52,4,46,2,4,6,6,2,19,6,35,70
Luddite:  Technology scares me! I only use it when I have to.,Congo,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Luddite:  Technology scares me! I only use it when I have to.,"Congo, The Democratic Republic of the",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Luddite:  Technology scares me! I only use it when I have to.,Costa Rica,16,16,16,16,16,16,13,9,7,5,1,1,1,1,1,0,0,15,16,15,15,15,11,9,6,5,7,7,7,7,6,11,1,9,1,2,1,0,3,2,1,6,14
Luddite:  Technology scares me! I only use it when I have to.,Cote D'Ivoire,15,15,15,15,15,15,8,10,7,0,0,0,1,0,2,0,1,12,13,14,14,14,8,7,8,6,8,9,6,6,6,9,1,9,0,0,1,1,1,2,1,5,11
Luddite:  Technology scares me! I only use it when I have to.,Croatia,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Luddite:  Technology scares me! I only use it when I have to.,Cuba,7,7,7,7,7,7,2,2,0,0,0,0,0,0,0,1,0,7,6,5,5,5,2,2,2,1,2,1,1,2,2,2,0,1,0,0,0,0,0,1,0,2,4
Luddite:  Technology scares me! I only use it when I have to.,Czech Republic,2,2,2,2,2,2,0,1,1,0,1,0,0,0,1,0,1,2,2,2,2,2,1,1,2,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1
Luddite:  Technology scares me! I only use it when I have to.,Denmark,3,3,3,3,3,3,3,3,2,1,0,0,0,0,0,0,0,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,0,1,0,1,1,1,1,1,2,3
Luddite:  Technology scares me! I only use it when I have to.,Djibouti,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Luddite:  Technology scares me! I only use it when I have to.,Dominican Republic,2,2,2,2,2,2,2,0,0,0,0,1,0,0,0,0,0,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,2
Luddite:  Technology scares me! I only use it when I have to.,Ecuador,76,76,76,76,76,76,60,37,33,14,1,4,1,1,2,3,3,71,71,67,64,66,48,37,44,34,42,35,36,43,37,39,1,34,2,1,1,3,4,2,1,35,61
Luddite:  Technology scares me! I only use it when I have to.,Egypt,9,9,9,9,9,9,5,6,3,2,2,2,2,2,2,2,1,5,6,6,6,6,3,3,3,3,2,2,2,3,2,2,1,2,1,1,1,1,2,1,1,3,3
Luddite:  Technology scares me! I only use it when I have to.,El Salvador,22,22,22,22,22,22,12,10,12,3,1,1,1,1,2,1,1,21,19,19,19,18,16,11,11,10,13,8,9,11,11,11,3,11,1,0,0,0,2,5,3,9,17
Luddite:  Technology scares me! I only use it when I have to.,Ethiopia,5,5,5,5,5,5,2,4,3,1,1,1,1,1,1,1,1,3,4,4,4,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3,1,0,4
Luddite:  Technology scares me! I only use it when I have to.,Europe,3,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,2,3
Luddite:  Technology scares me! I only use it when I have to.,Fiji,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Luddite:  Technology scares me! I only use it when I have to.,Finland,4,4,4,4,4,4,3,4,3,2,0,0,0,0,0,0,0,4,4,4,3,4,2,3,2,2,2,3,2,2,2,3,0,2,0,1,1,2,0,2,2,2,3
Luddite:  Technology scares me! I only use it when I have to.,France,1546,1546,1546,1546,1546,1546,472,1061,697,103,26,44,65,32,80,14,38,1495,1452,1482,1447,1446,858,784,802,823,860,834,757,757,763,896,38,679,52,51,99,68,44,154,105,736,1226
Luddite:  Technology scares me! I only use it when I have to.,French Guiana,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
Luddite:  Technology scares me! I only use it when I have to.,French Polynesia,5,5,5,5,5,5,5,3,2,0,0,0,0,0,1,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,2,0,0,0,0,0,2,1,3,4
Luddite:  Technology scares me! I only use it when I have to.,Gabon,5,5,5,5,5,5,2,5,5,1,0,0,0,0,0,0,0,5,5,5,5,5,2,1,1,2,1,2,1,1,1,2,0,3,0,0,0,0,0,0,0,2,5
Luddite:  Technology scares me! I only use it when I have to.,Germany,742,742,742,742,742,742,546,474,395,124,40,37,52,31,71,31,52,714,716,710,699,702,434,401,386,429,427,422,338,348,375,376,38,233,78,39,75,60,43,104,107,413,547
Luddite:  Technology scares me! I only use it when I have to.,Greece,6,6,6,6,6,6,5,5,6,1,0,0,1,0,0,0,0,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,0,0,1,0,4,5
Luddite:  Technology scares me! I only use it when I have to.,Grenada,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Luddite:  Technology scares me! I only use it when I have to.,Guadeloupe,4,4,4,4,4,4,2,4,2,0,0,0,0,0,1,0,0,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,4,4
Luddite:  Technology scares me! I only use it when I have to.,Guatemala,19,19,19,19,19,19,15,8,10,1,1,1,0,0,0,0,1,19,18,17,18,19,11,8,5,8,9,6,5,6,8,8,0,9,0,0,0,0,2,2,1,6,16
Luddite:  Technology scares me! I only use it when I have to.,Guinea,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Luddite:  Technology scares me! I only use it when I have to.,Honduras,4,4,4,4,4,4,3,2,4,2,0,0,0,0,1,0,0,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,2
Luddite:  Technology scares me! I only use it when I have to.,Hong Kong,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
Luddite:  Technology scares me! I only use it when I have to.,Hungary,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Luddite:  Technology scares me! I only use it when I have to.,India,162,162,162,162,162,162,100,109,111,41,19,16,20,14,27,18,18,137,139,138,134,132,71,67,74,72,69,66,59,59,62,64,35,73,21,13,24,17,16,45,19,47,127
Luddite:  Technology scares me! I only use it when I have to.,Indonesia,51,51,51,51,51,51,30,28,29,8,4,3,3,2,3,3,2,45,44,45,41,44,28,27,28,27,27,26,25,23,27,25,7,20,5,4,3,8,4,13,6,17,40
Luddite:  Technology scares me! I only use it when I have to.,"Iran, Islamic Republic of",20,20,20,20,20,20,16,6,7,7,4,4,5,4,4,4,4,11,11,7,7,9,2,1,3,3,1,2,1,2,1,4,3,4,3,2,2,3,1,4,1,4,10
Luddite:  Technology scares me! I only use it when I have to.,Ireland,8,8,8,8,8,8,7,7,4,2,1,0,0,0,0,0,0,8,8,8,8,8,7,7,6,6,6,7,7,6,6,6,1,5,1,1,2,1,1,4,4,2,8
Luddite:  Technology scares me! I only use it when I have to.,Isle of Man,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1
Luddite:  Technology scares me! I only use it when I have to.,Israel,5,5,5,5,5,5,4,3,3,0,0,0,1,0,0,0,0,4,4,4,4,4,4,4,3,3,4,3,3,4,3,4,1,2,1,0,0,0,0,2,2,2,3
Luddite:  Technology scares me! I only use it when I have to.,Italy,1442,1442,1442,1442,1442,1442,731,914,799,204,22,21,41,13,68,11,13,1395,1375,1387,1370,1364,937,796,781,765,782,886,732,784,736,933,51,602,62,49,62,58,45,145,96,736,1076
Luddite:  Technology scares me! I only use it when I have to.,Jamaica,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Luddite:  Technology scares me! I only use it when I have to.,Japan,3,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,2,2,0,0,0,0,0,0,0,0,3
Luddite:  Technology scares me! I only use it when I have to.,Kenya,7,7,7,7,7,7,3,6,6,1,0,0,1,0,1,0,1,5,5,5,4,4,2,2,2,2,2,2,2,2,2,2,0,2,0,0,1,0,0,0,0,2,5
Luddite:  Technology scares me! I only use it when I have to.,"Korea, Republic of",4,4,4,4,4,4,4,1,4,0,0,0,0,0,0,0,0,4,4,4,3,4,3,0,1,3,0,3,3,0,0,1,0,4,0,0,0,0,1,1,1,1,4
Luddite:  Technology scares me! I only use it when I have to.,Libya,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luddite:  Technology scares me! I only use it when I have to.,Lithuania,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2
Luddite:  Technology scares me! I only use it when I have to.,Luxembourg,10,10,10,10,10,10,6,10,8,3,1,0,3,0,1,0,0,10,10,10,10,10,9,8,8,8,8,9,7,7,8,9,1,7,0,0,2,2,1,4,1,3,10
Luddite:  Technology scares me! I only use it when I have to.,Macedonia,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Luddite:  Technology scares me! I only use it when I have to.,Madagascar,6,6,6,6,6,6,2,4,2,2,1,1,0,0,0,0,0,5,4,5,5,5,4,4,4,4,5,4,4,4,4,4,1,2,1,0,0,0,1,2,1,2,5
Luddite:  Technology scares me! I only use it when I have to.,Malaysia,11,11,11,11,11,11,7,7,11,1,0,2,0,0,0,0,0,11,11,11,11,11,9,8,9,8,9,9,7,8,7,8,0,5,1,0,2,1,1,2,1,7,10
Luddite:  Technology scares me! I only use it when I have to.,Mali,5,5,5,5,5,5,2,2,2,0,0,0,0,0,0,0,0,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,2,2
Luddite:  Technology scares me! I only use it when I have to.,Malta,4,4,4,4,4,4,2,4,3,1,0,0,0,0,1,0,0,4,4,4,4,4,3,3,3,3,3,3,3,2,2,3,0,0,0,1,1,0,0,0,1,2,3
Luddite:  Technology scares me! I only use it when I have to.,Martinique,9,9,9,9,9,9,2,8,3,1,0,0,1,0,0,0,0,9,9,9,9,9,7,6,7,7,8,6,4,5,5,7,0,4,0,0,0,0,0,0,0,4,5
Luddite:  Technology scares me! I only use it when I have to.,Mauritius,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
Luddite:  Technology scares me! I only use it when I have to.,Mayotte,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,2,1,2,2,1,2,2,1,1,1,2,0,0,0,0,0,0,0,0,0,2,2
Luddite:  Technology scares me! I only use it when I have to.,Mexico,282,282,282,282,282,282,156,130,162,88,16,21,20,14,23,15,21,268,268,259,252,251,169,147,144,132,144,132,135,140,134,149,20,110,19,16,17,22,16,37,26,131,216
Luddite:  Technology scares me! I only use it when I have to.,"Moldova, Republic of",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Luddite:  Technology scares me! I only use it when I have to.,Mongolia,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,2,3,3,1,1,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,1,2
Luddite:  Technology scares me! I only use it when I have to.,Morocco,26,26,26,26,26,26,21,19,12,10,5,4,5,4,5,5,4,17,17,16,15,17,4,2,2,2,1,3,1,1,1,3,2,8,1,1,1,1,1,4,4,7,13
Luddite:  Technology scares me! I only use it when I have to.,Myanmar,2,2,2,2,2,2,1,2,1,1,1,0,0,0,1,1,1,2,2,2,2,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2
Luddite:  Technology scares me! I only use it when I have to.,Namibia,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1
Luddite:  Technology scares me! I only use it when I have to.,Nepal,11,11,11,11,11,11,9,8,9,2,1,1,0,0,1,0,0,10,10,10,10,10,5,5,6,6,5,5,5,5,5,5,0,6,0,0,0,0,0,1,0,4,9
Luddite:  Technology scares me! I only use it when I have to.,Netherlands,18,18,18,18,18,18,11,13,7,3,0,0,0,1,1,1,1,17,17,17,17,16,11,9,10,8,8,9,7,6,6,8,4,7,5,3,5,6,2,5,4,7,13
Luddite:  Technology scares me! I only use it when I have to.,New Caledonia,2,2,2,2,2,2,0,1,1,0,0,0,1,0,0,0,0,2,2,2,2,2,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Luddite:  Technology scares me! I only use it when I have to.,New Zealand,20,20,20,20,20,20,16,13,12,7,0,0,1,0,0,0,0,20,20,20,20,19,17,15,17,16,17,17,15,15,15,16,0,3,0,0,0,0,0,0,0,17,20
Luddite:  Technology scares me! I only use it when I have to.,Nicaragua,12,12,12,12,12,12,11,8,9,5,0,1,0,0,0,0,0,12,12,11,12,11,7,6,3,5,5,4,3,4,5,8,0,3,1,0,0,0,0,1,1,8,9
Luddite:  Technology scares me! I only use it when I have to.,Niger,2,2,2,2,2,2,0,2,1,0,0,1,1,0,0,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2
Luddite:  Technology scares me! I only use it when I have to.,Nigeria,9,9,9,9,9,9,2,8,6,3,0,0,0,0,0,1,0,9,8,8,9,8,3,3,3,3,3,3,3,3,3,3,2,4,0,0,0,0,1,2,0,3,9
Luddite:  Technology scares me! I only use it when I have to.,Norway,4,4,4,4,4,4,2,3,3,2,2,2,2,2,2,2,2,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,2,3,2,2,2,2,2,2,2,2,4
Luddite:  Technology scares me! I only use it when I have to.,Pakistan,19,19,19,19,19,19,16,15,14,4,0,1,2,1,2,0,1,17,18,18,17,17,11,11,9,11,10,9,7,8,12,8,1,10,1,1,3,1,0,3,2,8,17
Luddite:  Technology scares me! I only use it when I have to.,Palestinian Territory,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Luddite:  Technology scares me! I only use it when I have to.,Panama,12,12,12,12,12,12,9,5,6,4,1,0,1,0,1,0,1,11,11,11,11,11,8,7,7,6,7,7,7,7,6,7,0,6,0,0,0,0,2,3,1,3,9
Luddite:  Technology scares me! I only use it when I have to.,Paraguay,12,12,12,12,12,12,8,5,10,0,0,0,0,0,0,1,0,12,12,11,11,11,8,7,4,6,6,7,6,5,5,7,0,5,0,0,0,1,0,0,0,5,8
Luddite:  Technology scares me! I only use it when I have to.,Peru,47,47,47,47,47,47,31,19,21,15,2,2,3,1,4,2,5,44,46,44,44,44,26,22,19,22,22,21,20,23,20,20,5,15,1,1,1,1,4,8,1,18,41
Luddite:  Technology scares me! I only use it when I have to.,Philippines,15,15,15,15,15,15,10,8,11,6,0,0,0,0,0,0,0,15,15,14,14,14,8,8,8,7,9,8,7,7,7,8,2,8,0,0,1,0,0,2,1,5,11
Luddite:  Technology scares me! I only use it when I have to.,Poland,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
Luddite:  Technology scares me! I only use it when I have to.,Portugal,7,7,7,7,7,7,6,7,3,1,0,1,0,0,1,0,0,7,7,7,7,7,3,4,2,3,2,3,2,2,2,3,0,2,0,1,0,1,0,1,1,5,6
Luddite:  Technology scares me! I only use it when I have to.,Puerto Rico,5,5,5,5,5,5,5,4,3,2,1,0,0,0,0,0,0,5,5,5,5,5,3,3,1,2,2,2,3,2,3,3,0,2,0,0,0,0,0,0,0,3,2
Luddite:  Technology scares me! I only use it when I have to.,Reunion,35,35,35,35,35,35,21,31,21,6,1,1,0,0,1,0,0,35,33,34,34,34,24,24,23,24,24,23,22,23,22,25,0,23,0,0,0,0,0,2,2,11,28
Luddite:  Technology scares me! I only use it when I have to.,Romania,4,4,4,4,4,4,1,3,2,0,0,0,0,0,0,0,0,4,3,3,4,4,1,1,1,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,4,2
Luddite:  Technology scares me! I only use it when I have to.,Russian Federation,6,6,6,6,6,6,4,4,5,1,0,2,1,1,1,1,1,6,6,6,5,5,3,3,3,3,3,3,3,2,2,4,0,0,1,1,0,1,1,2,1,3,5
Luddite:  Technology scares me! I only use it when I have to.,San Marino,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Luddite:  Technology scares me! I only use it when I have to.,Saudi Arabia,3,3,3,3,3,3,1,3,3,0,0,0,0,0,1,0,0,3,3,3,3,3,3,3,2,2,3,2,2,3,3,2,0,0,0,0,0,0,0,2,2,1,2
Luddite:  Technology scares me! I only use it when I have to.,Senegal,11,11,11,11,11,11,6,7,7,3,2,2,2,2,2,2,2,9,8,8,9,9,5,4,4,4,5,5,3,3,4,4,1,3,1,0,0,0,0,3,0,4,8
Luddite:  Technology scares me! I only use it when I have to.,Serbia,2,2,2,2,2,2,2,1,2,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,0,0,1,0,1,0,0,2
Luddite:  Technology scares me! I only use it when I have to.,Sierra Leone,2,2,2,2,2,2,2,0,2,1,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,2
Luddite:  Technology scares me! I only use it when I have to.,Singapore,6,6,6,6,6,6,4,5,5,3,2,1,1,1,2,2,1,5,5,5,5,6,5,3,5,4,5,4,3,3,3,3,0,3,0,0,0,0,0,0,0,2,4
Luddite:  Technology scares me! I only use it when I have to.,Slovakia,2,2,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,2,1,2,2,2,1,1,1,1,1,2,1,1,1,1,0,2,1,0,0,0,0,0,0,0,1
Luddite:  Technology scares me! I only use it when I have to.,Slovenia,4,4,4,4,4,4,1,1,1,0,0,0,0,0,0,0,1,4,4,4,4,4,4,2,3,3,3,3,3,2,2,3,0,1,0,0,1,1,0,1,0,2,3
Luddite:  Technology scares me! I only use it when I have to.,South Africa,15,15,15,15,15,15,11,9,9,1,0,0,0,0,1,0,0,15,15,14,14,14,11,10,9,11,9,9,7,8,7,7,0,9,0,2,0,0,1,5,0,3,12
Luddite:  Technology scares me! I only use it when I have to.,Spain,261,261,261,261,261,261,213,191,159,47,10,6,12,7,11,6,8,247,247,233,233,232,141,126,114,112,125,119,120,123,121,123,13,109,10,10,8,10,15,34,21,120,177
Luddite:  Technology scares me! I only use it when I have to.,Sri Lanka,3,3,3,3,3,3,1,1,3,1,1,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,2
Luddite:  Technology scares me! I only use it when I have to.,Sudan,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Luddite:  Technology scares me! I only use it when I have to.,Sweden,6,6,6,6,6,6,5,6,4,0,0,0,0,0,0,0,0,6,6,6,6,6,5,5,4,4,4,5,4,3,3,3,3,4,2,0,2,2,2,3,4,0,6
